,CRIM,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
274,0.05644,6.41,0.447,6.758,32.9,4.0776,4,254,17.6,3.53,32.4
65,0.03584,3.37,0.398,6.29,17.8,6.6115,4,337,16.1,4.67,23.5
416,10.8342,18.1,0.679,6.782,90.8,1.8195,24,666,20.2,25.79,7.5
361,3.83684,18.1,0.77,6.251,91.1,2.2955,24,666,20.2,14.19,19.9
189,0.0837,3.44,0.437,7.185,38.9,4.5667,5,398,15.2,5.39,34.9
324,0.34109,7.38,0.493,6.415,40.1,4.7211,5,287,19.6,6.12,25.0
399,9.91655,18.1,0.693,5.852,77.8,1.5004,24,666,20.2,29.97,6.3
48,0.25387,6.91,0.448,5.399,95.3,5.87,3,233,17.9,30.81,14.4
105,0.13262,8.56,0.52,5.851,96.7,2.1069,5,384,20.9,16.47,19.5
20,1.25179,8.14,0.538,5.57,98.1,3.7979,4,307,21.0,21.02,13.6
396,5.87205,18.1,0.693,6.405,96.0,1.6768,24,666,20.2,19.37,12.5
392,11.5779,18.1,0.7,5.036,97.0,1.77,24,666,20.2,25.68,9.7
195,0.01381,0.46,0.422,7.875,32.0,5.6484,4,255,14.4,2.97,50.0
44,0.12269,6.91,0.448,6.069,40.0,5.7209,3,233,17.9,9.55,21.2
200,0.01778,1.47,0.403,7.135,13.9,7.6534,3,402,17.0,4.45,32.9
71,0.15876,10.81,0.413,5.961,17.5,5.2873,4,305,19.2,9.88,21.7
158,1.34284,19.58,0.605,6.066,100.0,1.7573,5,403,14.7,6.43,24.3
232,0.57529,6.2,0.507,8.337,73.3,3.8384,8,307,17.4,2.47,41.7
97,0.12083,2.89,0.445,8.069,76.0,3.4952,2,276,18.0,4.21,38.7
176,0.07022,4.05,0.51,6.02,47.2,3.5549,5,296,16.6,10.11,23.2
125,0.16902,25.65,0.581,5.986,88.4,1.9929,2,188,19.1,14.81,21.4
433,5.58107,18.1,0.713,6.436,87.9,2.3158,24,666,20.2,16.22,14.3
69,0.12816,6.07,0.409,5.885,33.0,6.498,4,345,18.9,8.79,20.9
24,0.75026,8.14,0.538,5.924,94.1,4.3996,4,307,21.0,16.3,15.6
108,0.12802,8.56,0.52,6.474,97.1,2.4329,5,384,20.9,12.27,19.8
252,0.08221,5.86,0.431,6.957,6.8,8.9067,7,330,19.1,3.53,29.6
161,1.46336,19.58,0.605,7.489,90.8,1.9709,5,403,14.7,1.73,50.0
380,88.9762,18.1,0.671,6.968,91.9,1.4165,24,666,20.2,17.21,10.4
455,4.75237,18.1,0.713,6.525,86.5,2.4358,24,666,20.2,18.13,14.1
447,9.92485,18.1,0.74,6.251,96.6,2.198,24,666,20.2,16.44,12.6
57,0.01432,1.32,0.411,6.816,40.5,8.3248,5,256,15.1,3.95,31.6
293,0.08265,13.92,0.437,6.127,18.4,5.5027,4,289,16.0,8.58,23.9
128,0.32543,21.89,0.624,6.431,98.8,1.8125,4,437,21.2,15.39,18.0
410,51.1358,18.1,0.597,5.757,100.0,1.413,24,666,20.2,10.11,15.0
328,0.06617,3.24,0.46,5.868,25.8,5.2146,4,430,16.9,9.97,19.3
61,0.17171,5.13,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,16.0
15,0.62739,8.14,0.538,5.834,56.5,4.4986,4,307,21.0,8.47,19.9
413,28.6558,18.1,0.597,5.155,100.0,1.5894,24,666,20.2,20.08,16.3
109,0.26363,8.56,0.52,6.229,91.2,2.5451,5,384,20.9,15.55,19.4
85,0.05735,4.49,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6
78,0.05646,12.83,0.437,6.232,53.7,5.0141,5,398,18.7,12.34,21.2
237,0.51183,6.2,0.507,7.358,71.6,4.148,8,307,17.4,4.73,31.5
331,0.05023,6.06,0.4379,5.706,28.4,6.6407,1,304,16.9,12.43,17.1
493,0.17331,9.69,0.585,5.707,54.0,2.3817,6,391,19.2,12.01,21.8
180,0.06588,2.46,0.488,7.765,83.3,2.741,3,193,17.8,7.56,39.8
62,0.11027,5.13,0.453,6.456,67.8,7.2255,8,284,19.7,6.73,22.2
260,0.54011,3.97,0.647,7.203,81.8,2.1121,5,264,13.0,9.59,33.8
248,0.16439,5.86,0.431,6.433,49.1,7.8265,7,330,19.1,9.52,24.5
112,0.12329,10.01,0.547,5.913,92.9,2.3534,6,432,17.8,16.21,18.8
139,0.54452,21.89,0.624,6.151,97.9,1.6687,4,437,21.2,18.46,17.8
340,0.06151,5.19,0.515,5.968,58.5,4.8122,5,224,20.2,9.29,18.7
178,0.06642,4.05,0.51,6.86,74.4,2.9153,5,296,16.6,6.92,29.9
464,7.83932,18.1,0.655,6.209,65.4,2.9634,24,666,20.2,13.22,21.4
246,0.33983,5.86,0.431,6.108,34.9,8.0555,7,330,19.1,9.16,24.3
338,0.03306,5.19,0.515,6.059,37.3,4.8122,5,224,20.2,8.51,20.6
227,0.41238,6.2,0.504,7.163,79.9,3.2157,8,307,17.4,6.36,31.6
398,38.3518,18.1,0.693,5.453,100.0,1.4896,24,666,20.2,30.59,5.0
258,0.66351,3.97,0.647,7.333,100.0,1.8946,5,264,13.0,7.79,36.0
12,0.09378,7.87,0.524,5.889,39.0,5.4509,5,311,15.2,15.71,21.7
257,0.61154,3.97,0.647,8.704,86.9,1.801,5,264,13.0,5.12,50.0
136,0.32264,21.89,0.624,5.942,93.5,1.9669,4,437,21.2,16.9,17.4
83,0.03551,4.86,0.426,6.167,46.7,5.4007,4,281,19.0,7.51,22.9
454,9.51363,18.1,0.713,6.728,94.1,2.4961,24,666,20.2,18.71,14.9
208,0.13587,10.59,0.489,6.064,59.1,4.2392,4,277,18.6,14.66,24.4
492,0.11132,27.74,0.609,5.983,83.5,2.1099,4,711,20.1,13.35,20.1
382,9.18702,18.1,0.7,5.536,100.0,1.5804,24,666,20.2,23.6,11.3
436,14.4208,18.1,0.74,6.461,93.3,2.0026,24,666,20.2,18.05,9.6
222,0.62356,6.2,0.507,6.879,77.7,3.2721,8,307,17.4,9.93,27.5
475,6.39312,18.1,0.584,6.162,97.4,2.206,24,666,20.2,24.1,13.3
55,0.01311,1.22,0.403,7.249,21.9,8.6966,5,226,17.9,4.81,35.4
362,3.67822,18.1,0.77,5.362,96.2,2.1036,24,666,20.2,10.19,20.8
287,0.03871,5.32,0.405,6.209,31.3,7.3172,6,293,16.6,7.14,23.2
223,0.6147,6.2,0.507,6.618,80.8,3.2721,8,307,17.4,7.6,30.1
251,0.21409,5.86,0.431,6.438,8.9,7.3967,7,330,19.1,3.59,24.8
439,9.39063,18.1,0.74,5.627,93.9,1.8172,24,666,20.2,22.88,12.8
363,4.22239,18.1,0.77,5.803,89.0,1.9047,24,666,20.2,14.64,16.8
459,6.80117,18.1,0.713,6.081,84.4,2.7175,24,666,20.2,14.7,20.0
209,0.43571,10.59,0.489,5.344,100.0,3.875,4,277,18.6,23.09,20.0
481,5.70818,18.1,0.532,6.75,74.9,3.3317,24,666,20.2,7.74,23.7
478,10.233,18.1,0.614,6.185,96.7,2.1705,24,666,20.2,18.03,14.6
8,0.21124,7.87,0.524,5.631,100.0,6.0821,5,311,15.2,29.93,16.5
256,0.01538,3.75,0.394,7.454,34.2,6.3361,3,244,15.9,3.11,44.0
91,0.03932,3.41,0.489,6.405,73.9,3.0921,2,270,17.8,8.2,22.0
197,0.04666,1.52,0.404,7.107,36.6,7.309,2,329,12.6,8.61,30.3
432,6.44405,18.1,0.584,6.425,74.8,2.2004,24,666,20.2,12.03,16.1
415,18.0846,18.1,0.679,6.434,100.0,1.8347,24,666,20.2,29.05,7.2
28,0.77299,8.14,0.538,6.495,94.4,4.4547,4,307,21.0,12.8,18.4
313,0.26938,9.9,0.544,6.266,82.8,3.2628,4,304,18.4,7.9,21.6
5,0.02985,2.18,0.458,6.43,58.7,6.0622,3,222,18.7,5.21,28.7
298,0.06466,2.24,0.4,6.345,20.1,7.8278,5,358,14.8,4.97,22.5
304,0.05515,2.18,0.472,7.236,41.1,4.022,7,222,18.4,6.93,36.1
491,0.10574,27.74,0.609,5.983,98.8,1.8681,4,711,20.1,18.07,13.6
449,7.52601,18.1,0.713,6.417,98.3,2.185,24,666,20.2,19.31,13.0
225,0.52693,6.2,0.504,8.725,83.0,2.8944,8,307,17.4,4.63,50.0
211,0.37578,10.59,0.489,5.404,88.6,3.665,4,277,18.6,23.98,19.3
107,0.13117,8.56,0.52,6.127,85.2,2.1224,5,384,20.9,14.09,20.4
374,18.4982,18.1,0.668,4.138,100.0,1.137,24,666,20.2,37.97,13.8
483,2.81838,18.1,0.532,5.762,40.3,4.0983,24,666,20.2,10.42,21.8
336,0.03427,5.19,0.515,5.869,46.3,5.2311,5,224,20.2,9.8,19.5
405,67.9208,18.1,0.693,5.683,100.0,1.4254,24,666,20.2,22.98,5.0
166,2.01019,19.58,0.605,7.929,96.2,2.0459,5,403,14.7,3.7,50.0
276,0.10469,6.41,0.447,7.267,49.0,4.7872,4,254,17.6,6.05,33.2
456,4.66883,18.1,0.713,5.976,87.9,2.5806,24,666,20.2,19.01,12.7
23,0.98843,8.14,0.538,5.813,100.0,4.0952,4,307,21.0,19.88,14.5
339,0.05497,5.19,0.515,5.985,45.4,4.8122,5,224,20.2,9.74,19.0
143,4.0974,19.58,0.871,5.468,100.0,1.4118,5,403,14.7,26.42,15.6
27,0.95577,8.14,0.538,6.047,88.8,4.4534,4,307,21.0,17.28,14.8
419,11.8123,18.1,0.718,6.824,76.5,1.794,24,666,20.2,22.74,8.4
314,0.3692,9.9,0.544,6.567,87.3,3.6023,4,304,18.4,9.28,23.8
216,0.0456,13.89,0.55,5.888,56.0,3.1121,5,276,16.4,13.51,23.3
30,1.13081,8.14,0.538,5.713,94.1,4.233,4,307,21.0,22.6,12.7
213,0.14052,10.59,0.489,6.375,32.3,3.9454,4,277,18.6,9.38,28.1
111,0.10084,10.01,0.547,6.715,81.6,2.6775,6,432,17.8,10.16,22.8
33,1.15172,8.14,0.538,5.701,95.0,3.7872,4,307,21.0,18.35,13.1
67,0.05789,6.07,0.409,5.878,21.4,6.498,4,345,18.9,8.1,22.0
169,2.44953,19.58,0.605,6.402,95.2,2.2625,5,403,14.7,11.32,22.3
403,24.8017,18.1,0.693,5.349,96.0,1.7028,24,666,20.2,19.77,8.3
54,0.0136,4.0,0.41,5.888,47.6,7.3197,3,469,21.1,14.8,18.9
175,0.06664,4.05,0.51,6.546,33.1,3.1323,5,296,16.6,5.33,29.4
63,0.1265,5.13,0.453,6.762,43.4,7.9809,8,284,19.7,9.5,25.0
122,0.09299,25.65,0.581,5.961,92.9,2.0869,2,188,19.1,17.93,20.5
239,0.09252,4.93,0.428,6.606,42.2,6.1899,6,300,16.6,7.37,23.3
90,0.04684,3.41,0.489,6.417,66.1,3.0923,2,270,17.8,8.81,22.6
299,0.05561,2.24,0.4,7.041,10.0,7.8278,5,358,14.8,4.74,29.0
168,2.3004,19.58,0.605,6.319,96.1,2.1,5,403,14.7,11.1,23.8
113,0.22212,10.01,0.547,6.092,95.4,2.548,6,432,17.8,17.09,18.7
101,0.11432,8.56,0.52,6.781,71.3,2.8561,5,384,20.9,7.67,26.5
56,0.02055,0.74,0.41,6.383,35.7,9.1876,2,313,17.3,5.77,24.7
497,0.26838,9.69,0.585,5.794,70.6,2.8927,6,391,19.2,14.1,18.3
354,0.04301,1.91,0.413,5.663,21.9,10.5857,4,334,22.0,8.05,18.2
34,1.61282,8.14,0.538,6.096,96.9,3.7598,4,307,21.0,20.34,13.5
273,0.22188,6.96,0.464,7.691,51.8,4.3665,3,223,18.6,6.58,35.2
471,4.03841,18.1,0.532,6.229,90.7,3.0993,24,666,20.2,12.87,19.6
204,0.02009,2.68,0.4161,8.034,31.9,5.118,4,224,14.7,2.88,50.0
467,4.42228,18.1,0.584,6.003,94.5,2.5403,24,666,20.2,21.32,19.1
284,0.00906,2.97,0.4,7.088,20.8,7.3073,1,285,15.3,7.85,32.2
70,0.08826,10.81,0.413,6.417,6.6,5.2873,4,305,19.2,6.72,24.2
185,0.06047,2.46,0.488,6.153,68.8,3.2797,3,193,17.8,13.15,29.6
384,20.0849,18.1,0.7,4.368,91.2,1.4395,24,666,20.2,30.63,8.8
153,2.14918,19.58,0.871,5.709,98.5,1.6232,5,403,14.7,15.79,19.4
270,0.29916,6.96,0.464,5.856,42.1,4.429,3,223,18.6,13.0,21.1
422,12.0482,18.1,0.614,5.648,87.6,1.9512,24,666,20.2,14.1,20.8
242,0.1029,4.93,0.428,6.358,52.9,7.0355,6,300,16.6,11.22,22.2
412,18.811,18.1,0.597,4.628,100.0,1.5539,24,666,20.2,34.37,17.9
268,0.5405,3.97,0.575,7.47,52.6,2.872,5,264,13.0,3.16,43.5
221,0.40771,6.2,0.507,6.164,91.3,3.048,8,307,17.4,21.46,21.7
372,8.26725,18.1,0.668,5.875,89.6,1.1296,24,666,20.2,8.88,50.0
285,0.01096,2.25,0.389,6.453,31.9,7.3073,1,300,15.3,8.23,22.0
230,0.537,6.2,0.504,5.981,68.1,3.6715,8,307,17.4,11.65,24.3
198,0.03768,1.52,0.404,7.274,38.3,7.309,2,329,12.6,6.62,34.6
247,0.19657,5.86,0.431,6.226,79.2,8.0555,7,330,19.1,10.15,20.5
255,0.03548,3.64,0.392,5.876,19.1,9.2203,1,315,16.4,9.25,20.9
319,0.47547,9.9,0.544,6.113,58.8,4.0019,4,304,18.4,12.73,21.0
160,1.27346,19.58,0.605,6.25,92.6,1.7984,5,403,14.7,5.5,27.0
495,0.17899,9.69,0.585,5.67,28.8,2.7986,6,391,19.2,17.6,23.1
280,0.03578,3.33,0.4429,7.82,64.5,4.6947,5,216,14.9,3.76,45.4
66,0.04379,3.37,0.398,5.787,31.1,6.6115,4,337,16.1,10.24,19.4
480,5.82401,18.1,0.532,6.242,64.7,3.4242,24,666,20.2,10.74,23.0
29,1.00245,8.14,0.538,6.674,87.3,4.239,4,307,21.0,11.98,21.0
72,0.09164,10.81,0.413,6.065,7.8,5.2873,4,305,19.2,5.52,22.8
489,0.18337,27.74,0.609,5.414,98.3,1.7554,4,711,20.1,23.97,7.0
385,16.8118,18.1,0.7,5.277,98.1,1.4261,24,666,20.2,30.81,7.2
424,8.79212,18.1,0.584,5.565,70.6,2.0635,24,666,20.2,17.16,11.7
86,0.05188,4.49,0.449,6.015,45.1,4.4272,3,247,18.5,12.86,22.5
46,0.18836,6.91,0.448,5.786,33.3,5.1004,3,233,17.9,14.15,20.0
141,1.62864,21.89,0.624,5.019,100.0,1.4394,4,437,21.2,34.41,14.4
19,0.7258,8.14,0.538,5.727,69.5,3.7965,4,307,21.0,11.28,18.2
477,15.0234,18.1,0.614,5.304,97.3,2.1007,24,666,20.2,24.91,12.0
127,0.25915,21.89,0.624,5.693,96.0,1.7883,4,437,21.2,17.19,16.2
88,0.0566,3.41,0.489,7.007,86.3,3.4217,2,270,17.8,5.5,23.6
25,0.84054,8.14,0.538,5.599,85.7,4.4546,4,307,21.0,16.51,13.9
275,0.09604,6.41,0.447,6.854,42.8,4.2673,4,254,17.6,2.98,32.0
502,0.04527,11.93,0.573,6.12,76.7,2.2875,1,273,21.0,9.08,20.6
21,0.85204,8.14,0.538,5.965,89.2,4.0123,4,307,21.0,13.83,19.6
187,0.07875,3.44,0.437,6.782,41.1,3.7886,5,398,15.2,6.68,32.0
140,0.2909,21.89,0.624,6.174,93.6,1.6119,4,437,21.2,24.16,14.0
438,13.6781,18.1,0.74,5.935,87.9,1.8206,24,666,20.2,34.02,8.4
418,73.5341,18.1,0.679,5.957,100.0,1.8026,24,666,20.2,20.62,8.8
171,2.3139,19.58,0.605,5.88,97.3,2.3887,5,403,14.7,12.03,19.1
220,0.35809,6.2,0.507,6.951,88.5,2.8617,8,307,17.4,9.71,26.7
134,0.97617,21.89,0.624,5.757,98.4,2.346,4,437,21.2,17.31,15.6
321,0.18159,7.38,0.493,6.376,54.3,4.5404,5,287,19.6,6.87,23.1
93,0.02875,15.04,0.464,6.211,28.9,3.6659,4,270,18.2,6.21,25.0
151,1.49632,19.58,0.871,5.404,100.0,1.5916,5,403,14.7,13.28,19.6
348,0.01501,2.01,0.435,6.635,29.7,8.344,4,280,17.0,5.99,24.5
289,0.04297,5.32,0.405,6.565,22.9,7.3172,6,293,16.6,9.51,24.8
102,0.22876,8.56,0.52,6.405,85.4,2.7147,5,384,20.9,10.63,18.6
131,1.19294,21.89,0.624,6.326,97.7,2.271,4,437,21.2,12.26,19.6
98,0.08187,2.89,0.445,7.82,36.9,3.4952,2,276,18.0,3.57,43.8
224,0.31533,6.2,0.504,8.266,78.3,2.8944,8,307,17.4,4.14,44.8
370,6.53876,18.1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96,50.0
89,0.05302,3.41,0.489,7.079,63.1,3.4145,2,270,17.8,5.7,28.7
327,0.24103,7.38,0.493,6.083,43.7,5.4159,5,287,19.6,12.79,22.2
2,0.02729,7.07,0.469,7.185,61.1,4.9671,2,242,17.8,4.03,34.7
457,8.20058,18.1,0.713,5.936,80.3,2.7792,24,666,20.2,16.94,13.5
50,0.08873,5.64,0.439,5.963,45.7,6.8147,4,243,16.8,13.45,19.7
94,0.04294,15.04,0.464,6.249,77.3,3.615,4,270,18.2,10.59,20.6
17,0.7842,8.14,0.538,5.99,81.7,4.2579,4,307,21.0,14.67,17.5
100,0.14866,8.56,0.52,6.727,79.9,2.7778,5,384,20.9,9.42,27.5
333,0.05083,5.19,0.515,6.316,38.1,6.4584,5,224,20.2,5.68,22.2
310,2.63548,9.9,0.544,4.973,37.8,2.5194,4,304,18.4,12.64,16.1
272,0.1146,6.96,0.464,6.538,58.7,3.9175,3,223,18.6,7.73,24.4
253,0.36894,5.86,0.431,8.259,8.4,8.9067,7,330,19.1,3.54,42.8
337,0.03041,5.19,0.515,5.895,59.6,5.615,5,224,20.2,10.56,18.5
267,0.57834,3.97,0.575,8.297,67.0,2.4216,5,264,13.0,7.44,50.0
484,2.37857,18.1,0.583,5.871,41.9,3.724,24,666,20.2,13.34,20.6
496,0.2896,9.69,0.585,5.39,72.9,2.7986,6,391,19.2,21.14,19.7
182,0.09103,2.46,0.488,7.155,92.2,2.7006,3,193,17.8,4.82,37.9
172,0.13914,4.05,0.51,5.572,88.5,2.5961,5,296,16.6,14.69,23.1
448,9.32909,18.1,0.713,6.185,98.7,2.2616,24,666,20.2,18.13,14.1
26,0.67191,8.14,0.538,5.813,90.3,4.682,4,307,21.0,14.81,16.6
323,0.28392,7.38,0.493,5.708,74.3,4.7211,5,287,19.6,11.74,18.5
120,0.06899,25.65,0.581,5.87,69.7,2.2577,2,188,19.1,14.37,22.0
462,6.65492,18.1,0.713,6.317,83.0,2.7344,24,666,20.2,13.99,19.5
494,0.27957,9.69,0.585,5.926,42.6,2.3817,6,391,19.2,13.59,24.5
64,0.01951,1.38,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05,33.0
82,0.03659,4.86,0.426,6.302,32.2,5.4007,4,281,19.0,6.72,24.8
378,23.6482,18.1,0.671,6.38,96.2,1.3861,24,666,20.2,23.69,13.1
16,1.05393,8.14,0.538,5.935,29.3,4.4986,4,307,21.0,6.58,23.1
469,13.0751,18.1,0.58,5.713,56.7,2.8237,24,666,20.2,14.76,20.1
218,0.11069,13.89,0.55,5.951,93.8,2.8893,5,276,16.4,17.92,21.5
194,0.01439,2.93,0.401,6.604,18.8,6.2196,1,265,15.6,4.38,29.1
162,1.83377,19.58,0.605,7.802,98.2,2.0407,5,403,14.7,1.92,50.0
352,0.07244,1.69,0.411,5.884,18.5,10.7103,4,411,18.3,7.79,18.6
18,0.80271,8.14,0.538,5.456,36.6,3.7965,4,307,21.0,11.69,20.2
137,0.35233,21.89,0.624,6.454,98.4,1.8498,4,437,21.2,14.59,17.1
181,0.06888,2.46,0.488,6.144,62.2,2.5979,3,193,17.8,9.45,36.2
278,0.07978,6.41,0.447,6.482,32.1,4.1403,4,254,17.6,7.19,29.1
377,9.82349,18.1,0.671,6.794,98.8,1.358,24,666,20.2,21.24,13.3
468,15.5757,18.1,0.58,5.926,71.0,2.9084,24,666,20.2,18.13,19.1
37,0.08014,5.96,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,21.0
106,0.1712,8.56,0.52,5.836,91.9,2.211,5,384,20.9,18.66,19.5
269,0.09065,6.96,0.464,5.92,61.5,3.9175,3,223,18.6,13.65,20.7
290,0.03502,4.95,0.411,6.861,27.9,5.1167,4,245,19.2,3.33,28.5
41,0.12744,6.91,0.448,6.77,2.9,5.7209,3,233,17.9,4.84,26.6
174,0.08447,4.05,0.51,5.859,68.7,2.7019,5,296,16.6,9.64,22.6
121,0.07165,25.65,0.581,6.004,84.1,2.1974,2,188,19.1,14.27,20.3
315,0.25356,9.9,0.544,5.705,77.7,3.945,4,304,18.4,11.5,16.2
212,0.21719,10.59,0.489,5.807,53.8,3.6526,4,277,18.6,16.03,22.4
52,0.0536,5.64,0.439,6.511,21.1,6.8147,4,243,16.8,5.28,25.0
188,0.12579,3.44,0.437,6.556,29.1,4.5667,5,398,15.2,4.56,29.8
381,15.8744,18.1,0.671,6.545,99.1,1.5192,24,666,20.2,21.08,10.9
343,0.02543,3.78,0.484,6.696,56.4,5.7321,5,370,17.6,7.18,23.9
130,0.34006,21.89,0.624,6.458,98.9,2.1185,4,437,21.2,12.6,19.2
356,8.98296,18.1,0.77,6.212,97.4,2.1222,24,666,20.2,17.6,17.8
117,0.15098,10.01,0.547,6.021,82.6,2.7474,6,432,17.8,10.3,19.2
488,0.15086,27.74,0.609,5.454,92.7,1.8209,4,711,20.1,18.06,15.2
104,0.1396,8.56,0.52,6.167,90.0,2.421,5,384,20.9,12.33,20.1
434,13.9134,18.1,0.713,6.208,95.0,2.2222,24,666,20.2,15.17,11.7
10,0.22489,7.87,0.524,6.377,94.3,6.3467,5,311,15.2,20.45,15.0
364,3.47428,18.1,0.718,8.78,82.9,1.9047,24,666,20.2,5.29,21.9
357,3.8497,18.1,0.77,6.395,91.0,2.5052,24,666,20.2,13.27,21.7
159,1.42502,19.58,0.871,6.51,100.0,1.7659,5,403,14.7,7.39,23.3
428,7.36711,18.1,0.679,6.193,78.1,1.9356,24,666,20.2,21.52,11.0
347,0.0187,4.15,0.429,6.516,27.7,8.5353,4,351,17.9,6.36,23.1
345,0.03113,4.39,0.442,6.014,48.5,8.0136,3,352,18.8,10.53,17.5
437,15.1772,18.1,0.74,6.152,100.0,1.9142,24,666,20.2,26.45,8.7
445,10.6718,18.1,0.74,6.459,94.8,1.9879,24,666,20.2,23.98,11.8
42,0.1415,6.91,0.448,6.169,6.6,5.7209,3,233,17.9,5.81,25.3
353,0.01709,2.02,0.41,6.728,36.1,12.1265,5,187,17.0,4.5,30.1
402,9.59571,18.1,0.693,6.404,100.0,1.639,24,666,20.2,20.31,12.1
199,0.0315,1.47,0.403,6.975,15.3,7.6534,3,402,17.0,4.56,34.9
499,0.17783,9.69,0.585,5.569,73.5,2.3999,6,391,19.2,15.1,17.5
0,0.00632,2.31,0.538,6.575,65.2,4.09,1,296,15.3,4.98,24.0
49,0.21977,6.91,0.448,5.602,62.0,6.0877,3,233,17.9,16.2,19.4
40,0.03359,2.95,0.428,7.024,15.8,5.4011,3,252,18.3,1.98,34.9
395,8.71675,18.1,0.693,6.471,98.8,1.7257,24,666,20.2,17.12,13.1
452,5.09017,18.1,0.713,6.297,91.8,2.3682,24,666,20.2,17.27,16.1
81,0.04462,4.86,0.426,6.619,70.4,5.4007,4,281,19.0,7.22,23.9
13,0.62976,8.14,0.538,5.949,61.8,4.7075,4,307,21.0,8.26,20.4
498,0.23912,9.69,0.585,6.019,65.3,2.4091,6,391,19.2,12.92,21.2
308,0.49298,9.9,0.544,6.635,82.5,3.3175,4,304,18.4,4.54,22.8
244,0.20608,5.86,0.431,5.593,76.5,7.9549,7,330,19.1,12.5,17.6
463,5.82115,18.1,0.713,6.513,89.9,2.8016,24,666,20.2,10.29,20.2
411,14.0507,18.1,0.597,6.657,100.0,1.5275,24,666,20.2,21.22,17.2
329,0.06724,3.24,0.46,6.333,17.2,5.2146,4,430,16.9,7.34,22.6
249,0.19073,5.86,0.431,6.718,17.5,7.8265,7,330,19.1,6.56,26.2
45,0.17142,6.91,0.448,5.682,33.8,5.1004,3,233,17.9,10.21,19.3
110,0.10793,8.56,0.52,6.195,54.4,2.7778,5,384,20.9,13.0,21.7
3,0.03237,2.18,0.458,6.998,45.8,6.0622,3,222,18.7,2.94,33.4
444,12.8023,18.1,0.74,5.854,96.6,1.8956,24,666,20.2,23.79,10.8
96,0.11504,2.89,0.445,6.163,69.6,3.4952,2,276,18.0,11.34,21.4
154,1.41385,19.58,0.871,6.129,96.0,1.7494,5,403,14.7,15.12,17.0
472,3.56868,18.1,0.58,6.437,75.0,2.8965,24,666,20.2,14.36,23.2
234,0.44791,6.2,0.507,6.726,66.5,3.6519,8,307,17.4,8.05,29.0
503,0.06076,11.93,0.573,6.976,91.0,2.1675,1,273,21.0,5.64,23.9
386,24.3938,18.1,0.7,4.652,100.0,1.4672,24,666,20.2,28.28,10.5
263,0.82526,3.97,0.647,7.327,94.5,2.0788,5,264,13.0,11.25,31.0
371,9.2323,18.1,0.631,6.216,100.0,1.1691,24,666,20.2,9.53,50.0
341,0.01301,1.52,0.442,7.241,49.3,7.0379,1,284,15.5,5.49,32.7
421,7.02259,18.1,0.718,6.006,95.3,1.8746,24,666,20.2,15.7,14.2
59,0.10328,5.13,0.453,5.927,47.2,6.932,8,284,19.7,9.22,19.6
387,22.5971,18.1,0.7,5.0,89.5,1.5184,24,666,20.2,31.99,7.4
431,10.0623,18.1,0.584,6.833,94.3,2.0882,24,666,20.2,19.69,14.1
77,0.08707,12.83,0.437,6.14,45.8,4.0905,5,398,18.7,10.27,20.8
485,3.67367,18.1,0.583,6.312,51.9,3.9917,24,666,20.2,10.58,21.2
80,0.04113,4.86,0.426,6.727,33.5,5.4007,4,281,19.0,5.29,28.0
283,0.01501,1.21,0.401,7.923,24.8,5.885,1,198,13.6,3.16,50.0
250,0.1403,5.86,0.431,6.487,13.0,7.3967,7,330,19.1,5.9,24.4
366,3.69695,18.1,0.718,4.963,91.4,1.7523,24,666,20.2,14.0,21.9
38,0.17505,5.96,0.499,5.966,30.2,3.8473,5,279,19.2,10.13,24.7
487,4.83567,18.1,0.583,5.905,53.2,3.1523,24,666,20.2,11.45,20.6
202,0.02177,2.03,0.415,7.61,15.7,6.27,2,348,14.7,3.11,42.3
31,1.35472,8.14,0.538,6.072,100.0,4.175,4,307,21.0,13.04,14.5
391,5.29305,18.1,0.7,6.051,82.5,2.1678,24,666,20.2,18.76,23.2
1,0.02731,7.07,0.469,6.421,78.9,4.9671,2,242,17.8,9.14,21.6
291,0.07886,4.95,0.411,7.148,27.7,5.1167,4,245,19.2,3.56,37.3
179,0.0578,2.46,0.488,6.98,58.4,2.829,3,193,17.8,5.04,37.2
470,4.34879,18.1,0.58,6.167,84.0,3.0334,24,666,20.2,16.29,19.9
203,0.0351,2.68,0.4161,7.853,33.2,5.118,4,224,14.7,3.81,48.5
164,2.24236,19.58,0.605,5.854,91.8,2.422,5,403,14.7,11.64,22.7
326,0.30347,7.38,0.493,6.312,28.9,5.4159,5,287,19.6,6.15,23.0
317,0.24522,9.9,0.544,5.782,71.7,4.0317,4,304,18.4,15.94,19.8
379,17.8667,18.1,0.671,6.223,100.0,1.3861,24,666,20.2,21.78,10.2
22,1.23247,8.14,0.538,6.142,91.7,3.9769,4,307,21.0,18.72,15.2
